signaldate,LAT,LON,operation_id,Outlier GPS,In Port,At Sea Anchor,At Sea Adrift,At Sea Voyage
2024-05-31T10:09:00.000000,31.197468333333,123.14561666667,2,0,0,1,0,0
2024-05-31T10:10:00.000000,31.197455,123.14560166667,2,0,0,1,0,0
2024-05-31T10:11:00.000000,31.19745,123.14558666667,2,0,0,1,0,0
2024-05-31T10:12:00.000000,31.197453333333,123.145575,2,0,0,1,0,0
2024-05-31T10:13:00.000000,31.197455,123.14557666667,2,0,0,1,0,0
2024-05-31T10:14:00.000000,31.197443333333,123.14559333333,2,0,0,1,0,0
2024-05-31T10:15:00.000000,31.197441666667,123.14560666667,2,0,0,1,0,0
2024-05-31T10:16:00.000000,31.197441666667,123.14560333333,2,0,0,1,0,0
2024-05-31T10:17:00.000000,31.197428333333,123.14559833333,2,0,0,1,0,0
2024-05-31T10:18:00.000000,31.197416666667,123.14561833333,2,0,0,1,0,0
2024-05-31T10:19:00.000000,31.19738,123.145635,2,0,0,1,0,0
2024-05-31T10:20:00.000000,31.19738,123.14562666667,2,0,0,1,0,0
2024-05-31T10:21:00.000000,31.197416666667,123.14561666667,2,0,0,1,0,0
2024-05-31T10:22:00.000000,31.197436666667,123.14561833333,2,0,0,1,0,0
2024-05-31T10:23:00.000000,31.197411666667,123.14562166667,2,0,0,1,0,0
2024-05-31T10:24:00.000000,31.197388333333,123.14562833333,2,0,0,1,0,0
2024-05-31T10:25:00.000000,31.19738,123.14563666667,2,0,0,1,0,0
2024-05-31T10:26:00.000000,31.197376666667,123.14564,2,0,0,1,0,0
2024-05-31T10:27:00.000000,31.197378333333,123.14565,2,0,0,1,0,0
2024-05-31T10:28:00.000000,31.197376666667,123.14565166667,2,0,0,1,0,0
2024-05-31T10:29:00.000000,31.19741,123.14562666667,2,0,0,1,0,0
2024-05-31T10:30:00.000000,31.197428333333,123.14560833333,2,0,0,1,0,0
2024-05-31T10:31:00.000000,31.197465,123.14563,2,0,0,1,0,0
2024-05-31T10:32:00.000000,31.197446666667,123.14560666667,2,0,0,1,0,0
2024-05-31T10:33:00.000000,31.197456666667,123.14560333333,2,0,0,1,0,0
2024-05-31T10:34:00.000000,31.197446666667,123.14557666667,2,0,0,1,0,0
2024-05-31T10:35:00.000000,31.197446666667,123.14557833333,2,0,0,1,0,0
2024-05-31T10:36:00.000000,31.197443333333,123.14559333333,2,0,0,1,0,0
