LOCODE,LAT,LON
CNNEG,23.1,113.417
CNNHS,23.035339,113.226513
CNNJP,32.0750616,118.7706532
CNNKG,32.2125,118.812
CNPLA,37.8,120.75
CNQDG,36.014189,120.20202
CNQHE,37.0399299,115.66718
CNQPU,31.15,121.1
CNQZH,21.979933,108.654146
CNRIA,27.778657,120.655148
CNSBU,22.3666,112.7166
CNSHC,26.314775,116.346995
CNSHG,31.366365,121.61475
CNSHQ,34.414172,115.65637
CNSIN,24.0,113.88333
CNSJI,30.71666667,122.4833333
CNSNW,22.302496,113.363816
CNSTP,23.302822,116.774468
CNSUN,40.11667,116.63333
CNSZP,22.4760219,113.9127408
CNSZX,22.543096,114.057865
CNTAG,31.43333,121.08333
CNTGU,39.029528,117.661226
CNTIZ,32.455778,119.923116
CNTJP,38.982173,117.746172
CNWAI,22.58333,113.13333
CNWFG,36.706774,119.161756
CNWGQ,31.3510027,121.5850272
CNWNZ,27.9110235,120.8554106
CNWUC,23.083,113.417
CNWUH,30.580882,114.29635
CNWUO,23.476963,111.279115
CNWUP,30.4969304,114.3939601
CNXAN,24.633,118.25
CNXCG,30.995032,105.900818
CNXFN,32.01667,112.15
CNXGG,38.98333,117.48333
CNXHK,20.028061,110.309418
CNXHO,23.083,113.433
CNXIU,25.25,119.03333
CNXIZ,22.265811,113.543785
CNXMH,24.485792,118.031683
CNXMP,24.356536,118.206734
CNXSA,23.1,113.25
CNXXY,27.1,120.317
CNYAN,30.61667,122.05
CNYBN,28.76667,104.56667
CNYCG,30.691966,111.286471
CNYGN,25.941937,117.365053
CNYGS,24.466675,112.626495
CNYIB,28.753105,104.642964
CNYNT,37.539058,121.368981
CNYON,23.41667,112.4
CNYSA,30.6174595,122.0852074
CNYSN,24.466675,112.626495
CNYTP,37.41058,121.378119
CNYUF,22.93333,112.03333
CNZAP,30.6,121.06667
CNZGL,21.93333,113.21667
CNZOS,29.985295,122.207215
CNZXN,30.29956,108.039002
CNZYO,27.883,121.117
CXFFC,-10.4167,105.7167
CYAKT,34.6,32.95
CYDHK,34.9833,33.75
CYFMG,35.1,33.95
CYKAR,35.1333,32.8333
CYKYR,35.3333,33.3333
CYLCA,34.9167,33.6167
CYLAT,35.0333,32.4
CYLMS,34.6833,33.05
CYMOI,34.7333,33.2
CYNIC,35.1667,33.3667
CYPFO,34.7667,32.4167
CYVAS,34.7167,33.3167
CYZYY,34.7333,33.3333
CYANM,34.983,34.0
CYARA,34.95,33.58333
CYAVA,34.9968356,33.3694007
CYAYI,34.98333,34.0
CYERG,35.0541055,33.2436859
CYGEO,34.9,32.31667
CYKAP,35.0596159,34.0093716
CYKYP,34.9413934,32.9680834
CYLAR,34.91667,33.63333
CYLFS,34.88333,33.63333
CYLIM,34.65,33.01667
CYLIO,35.0,33.88333
CYLOP,34.66667,33.05
CYNOU,34.8548144,33.5468888
CYORM,34.9923198,33.7791944
CYPAR,35.03333,34.03333
CYPOM,35.16667,32.55
CYPOT,34.96667,33.9
CYPSI,35.05,33.25
CYPYR,35.18333,32.66667
CYTRI,35.05,34.01667
CYXLT,35.0153362,33.7407024
CYXYL,34.96667,33.83333
CYZER,35.13333,32.83333
CYZYG,34.73333,33.33333
GEIES,41.75,45.1667
GEKUL,42.2667,41.6333
GEABK,43.0,41.0
GEBUS,41.6167547,41.6367455
GEPTI,42.1582596,41.67137
GESUP,42.01667,41.71667
HKABD,22.25,114.15
HKCWB,22.2833,114.1833
HKHKC,22.3667,114.1167
HKKWN,22.3,114.1667
HKTST,22.3,114.1667
HKWNI,22.2833,114.1667
HKHKG,22.3,114.1666667
IDAGR,0.85,122.7833
IDANO,5.2333,105.6
IDANR,-6.0667,105.8833
IDBPN,-1.2833,116.8333
IDBLH,5.8167,95.3333
IDBTM,1.0833,104.0333
IDBUR,1.1667,104.0167
IDBAM,-0.9667,102.7333
IDBTW,-3.45,115.9833
