signaldate,LAT,LON,operation_id,Outlier GPS,In Port,At Sea Anchor,At Sea Adrift,At Sea Voyage
2024-09-12T10:36:00.000000,36.341601666667,18.851316833333,4,0,0,0,0,1
2024-09-12T10:37:00.000000,36.341680333333,18.846689833333,4,0,0,0,0,1
2024-09-12T10:38:00.000000,36.341737,18.842062833333,4,0,0,0,0,1
2024-09-12T10:39:00.000000,36.3417795,18.8374245,4,0,0,0,0,1
2024-09-12T10:40:00.000000,36.341835,18.832789,4,0,0,0,0,1
2024-09-12T10:41:00.000000,36.3418975,18.828127166667,4,0,0,0,0,1
2024-09-12T10:42:00.000000,36.342032666667,18.823484,4,0,0,0,0,1
2024-09-12T10:43:00.000000,36.3421055,18.818869666667,4,0,0,0,0,1
2024-09-12T10:44:00.000000,36.342224333333,18.814289,4,0,0,0,0,1
2024-09-12T10:45:00.000000,36.3423625,18.809708333333,4,0,0,0,0,1
2024-09-12T10:46:00.000000,36.3424285,18.805076833333,4,0,0,0,0,1
2024-09-12T10:47:00.000000,36.3425205,18.8004155,4,0,0,0,0,1
2024-09-12T10:48:00.000000,36.342618166667,18.795751666667,4,0,0,0,0,1
2024-09-12T10:49:00.000000,36.342733833333,18.791096333333,4,0,0,0,0,1
2024-09-12T10:50:00.000000,36.342871166667,18.786497333333,4,0,0,0,0,1
2024-09-12T10:51:00.000000,36.342951833333,18.7818785,4,0,0,0,0,1
2024-09-12T10:52:00.000000,36.343048666667,18.777229166667,4,0,0,0,0,1
2024-09-12T10:53:00.000000,36.343175166667,18.772585,4,0,0,0,0,1
2024-09-12T10:54:00.000000,36.343293166667,18.767946166667,4,0,0,0,0,1
2024-09-12T10:55:00.000000,36.3434065,18.763307,4,0,0,0,0,1
2024-09-12T10:56:00.000000,36.343528333333,18.758671,4,0,0,0,0,1
2024-09-12T10:57:00.000000,36.343660833333,18.754028333333,4,0,0,0,0,1
2024-09-12T10:58:00.000000,36.343892666667,18.749459,4,0,0,0,0,1
2024-09-12T10:59:00.000000,36.344027333333,18.744863666667,4,0,0,0,0,1
2024-09-12T11:00:00.000000,36.344184833333,18.740299333333,4,0,0,0,0,1
2024-09-12T11:01:00.000000,36.3443,18.7356955,4,0,0,0,0,1
2024-09-12T11:02:00.000000,36.344407833333,18.731124166667,4,0,0,0,0,1
2024-09-12T11:03:00.000000,36.344470833333,18.7265355,4,0,0,0,0,1
2024-09-12T11:04:00.000000,36.344507166667,18.721945666667,4,0,0,0,0,1
2024-09-12T11:05:00.000000,36.3445245,18.717366833333,4,0,0,0,0,1
2024-09-12T11:06:00.000000,36.344563833333,18.712796,4,0,0,0,0,1
2024-09-12T11:07:00.000000,36.344566333333,18.708195166667,4,0,0,0,0,1
2024-09-12T11:08:00.000000,36.344592166667,18.703544166667,4,0,0,0,0,1
2024-09-12T11:09:00.000000,36.344625,18.698877833333,4,0,0,0,0,1
2024-09-12T11:10:00.000000,36.344663333333,18.694223833333,4,0,0,0,0,1
2024-09-12T11:11:00.000000,36.344654833333,18.6895615,4,0,0,0,0,1
2024-09-12T11:12:00.000000,36.344695833333,18.6849035,4,0,0,0,0,1
2024-09-12T11:13:00.000000,36.344736833333,18.680256666667,4,0,0,0,0,1
2024-09-12T11:14:00.000000,36.344722,18.675576333333,4,0,0,0,0,1
2024-09-12T11:15:00.000000,36.344749833333,18.670875333333,4,0,0,0,0,1
2024-09-12T11:16:00.000000,36.344792333333,18.666192833333,4,0,0,0,0,1
2024-09-12T11:17:00.000000,36.3447955,18.6615165,4,0,0,0,0,1
2024-09-12T11:18:00.000000,36.344773333333,18.6568315,4,0,0,0,0,1
2024-09-12T11:19:00.000000,36.344740166667,18.652119166667,4,0,0,0,0,1
2024-09-12T11:20:00.000000,36.344738666667,18.647383333333,4,0,0,0,0,1
2024-09-12T11:21:00.000000,36.3447405,18.642637833333,4,0,0,0,0,1
2024-09-12T11:22:00.000000,36.344797666667,18.637923666667,4,0,0,0,0,1
2024-09-12T11:23:00.000000,36.344819666667,18.6332305,4,0,0,0,0,1
2024-09-12T11:24:00.000000,36.344797333333,18.628535,4,0,0,0,0,1
2024-09-12T11:25:00.000000,36.344805333333,18.6238085,4,0,0,0,0,1
2024-09-12T11:26:00.000000,36.344873166667,18.619125166667,4,0,0,0,0,1
2024-09-12T11:27:00.000000,36.344876,18.614471666667,4,0,0,0,0,1
2024-09-12T11:28:00.000000,36.344888166667,18.609795833333,4,0,0,0,0,1
2024-09-12T11:29:00.000000,36.344910833333,18.605106166667,4,0,0,0,0,1
2024-09-12T11:30:00.000000,36.344984333333,18.600424166667,4,0,0,0,0,1
2024-09-12T11:31:00.000000,36.344999166667,18.595723,4,0,0,0,0,1
2024-09-12T11:32:00.000000,36.345067166667,18.591033166667,4,0,0,0,0,1
2024-09-12T11:33:00.000000,36.345108666667,18.586364,4,0,0,0,0,1
2024-09-12T11:34:00.000000,36.345137833333,18.581674166667,4,0,0,0,0,1
2024-09-12T11:35:00.000000,36.3452465,18.5770175,4,0,0,0,0,1
2024-09-12T11:36:00.000000,36.3453255,18.572385166667,4,0,0,0,0,1
2024-09-12T11:37:00.000000,36.345399333333,18.567764666667,4,0,0,0,0,1
2024-09-12T11:38:00.000000,36.345500166667,18.563087666667,4,0,0,0,0,1
2024-09-12T11:39:00.000000,36.345914,18.558333333333,4,0,0,0,0,1
2024-09-12T11:40:00.000000,36.346518666667,18.553559333333,4,0,0,0,0,1
2024-09-12T11:41:00.000000,36.3471315,18.5487835,4,0,0,0,0,1
2024-09-12T11:42:00.000000,36.347728166667,18.543983666667,4,0,0,0,0,1
2024-09-12T11:43:00.000000,36.348389833333,18.5391975,4,0,0,0,0,1
2024-09-12T11:44:00.000000,36.348930666667,18.534411166667,4,0,0,0,0,1
2024-09-12T11:45:00.000000,36.349471666667,18.529617833333,4,0,0,0,0,1
2024-09-12T11:46:00.000000,36.349988333333,18.524801666667,4,0,0,0,0,1
2024-09-12T11:47:00.000000,36.350494333333,18.519971166667,4,0,0,0,0,1
2024-09-12T11:48:00.000000,36.351030833333,18.5151295,4,0,0,0,0,1
2024-09-12T11:49:00.000000,36.351554833333,18.510284,4,0,0,0,0,1
2024-09-12T11:50:00.000000,36.352131,18.505494666667,4,0,0,0,0,1
2024-09-12T11:51:00.000000,36.352654666667,18.500739166667,4,0,0,0,0,1
2024-09-12T11:52:00.000000,36.352949333333,18.495996666667,4,0,0,0,0,1
2024-09-12T11:53:00.000000,36.352952833333,18.491278166667,4,0,0,0,0,1
2024-09-12T11:54:00.000000,36.352762333333,18.486581,4,0,0,0,0,1
2024-09-12T11:55:00.000000,36.352503166667,18.4818875,4,0,0,0,0,1
2024-09-12T11:56:00.000000,36.352234,18.4771945,4,0,0,0,0,1
2024-09-12T11:57:00.000000,36.351920833333,18.472489166667,4,0,0,0,0,1
2024-09-12T11:58:00.000000,36.351617666667,18.467791166667,4,0,0,0,0,1
2024-09-12T11:59:00.000000,36.351315666667,18.46307,4,0,0,0,0,1
2024-09-12T12:00:00.000000,36.351034166667,18.458344333333,4,0,0,0,0,1
2024-09-12T12:01:00.000000,36.350747666667,18.4536285,4,0,0,0,0,1
2024-09-12T12:02:00.000000,36.350453333333,18.448916833333,4,0,0,0,0,1
2024-09-12T12:03:00.000000,36.350120166667,18.444197666667,4,0,0,0,0,1
2024-09-12T12:04:00.000000,36.349842833333,18.439493666667,4,0,0,0,0,1
2024-09-12T12:05:00.000000,36.349566833333,18.4348245,4,0,0,0,0,1
2024-09-12T12:06:00.000000,36.349258833333,18.430172,4,0,0,0,0,1
2024-09-12T12:07:00.000000,36.348912833333,18.425512666667,4,0,0,0,0,1
2024-09-12T12:08:00.000000,36.348602833333,18.420863,4,0,0,0,0,1
2024-09-12T12:09:00.000000,36.348193166667,18.416259833333,4,0,0,0,0,1
2024-09-12T12:10:00.000000,36.3479495,18.411647166667,4,0,0,0,0,1
2024-09-12T12:11:00.000000,36.3479485,18.407016,4,0,0,0,0,1
2024-09-12T12:12:00.000000,36.34791,18.402403833333,4,0,0,0,0,1
